Scaling factor	2.6659506944613276
ABC	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 -0.4501955453626583 -0.0802447669842947 -0.08731855288651785 0.461306517152794 0.5291635984811017
Aerosmith	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 -0.4501955453626583 -0.0802447669842947 -0.08731855288651785 -0.5871323280312213 0.3848291128614727
The Allman Brothers Band	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 -0.4501955453626583 -0.0802447669842947 -0.08731855288651785 -0.3011605003060436 -0.6341294582185275
The Animals	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 -0.4501955453626583 -0.0802447669842947 -0.08731855288651785 0.6692767650737388 -0.21186417454950007
Adam Ant	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 -0.4501955453626583 -0.0802447669842947 -0.5839479549350399 -0.39542834793422726 0.055529757612451006
Anthrax	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 -0.4501955453626583 -0.0802447669842947 -0.5839479549350399 0.383863840789564 -0.1099803803629273
The B‐52s	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 -0.4501955453626583 -0.5811070343607238 0.046645499391429514 -0.3998413756900273 0.08454144144136738
Burt Bacharach	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 0.14255434647319046 -0.4501955453626583 -0.5811070343607238 0.046645499391429514 0.3737041096227575 -0.1654255708339547
Badfinger	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 0.5043925453124677 0.23320563912497164 0.15451004998109147 -0.39725064814934086 0.22441556188730896
Bauhaus	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 0.5043925453124677 0.23320563912497164 0.15451004998109147 0.23549389995000158 -0.3907851647115159
The Beau Brummels	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 0.5043925453124677 0.23320563912497164 -0.38258986287855234 -0.1692960790932444 -0.2387626684464132
The Beautiful South	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 0.5043925453124677 -0.33195465295024795 0.05984393928738663 0.05316779734838925 0.41210028412691313
Jeff Beck	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 0.5043925453124677 -0.33195465295024795 0.05984393928738663 -0.15602137643367722 -0.3851113981020332
BECK	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 0.5043925453124677 -0.33195465295024795 -0.4027414459450485 0.040300371630195335 -0.11140001654557344
Big Brother	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 -0.043535489387936 0.5027424827649464 0.2328905945855323 -0.3826543985969365 0.29245978643055903
Big Star	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 -0.043535489387936 0.5027424827649464 0.2328905945855323 0.1264311181872898 -0.4647281870066662
Björk	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 -0.043535489387936 0.5027424827649464 -0.33220253433568725 0.059105729735341186 0.4151423049803446
Black Flag	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 -0.043535489387936 0.5027424827649464 -0.33220253433568725 -0.17261998529792855 -0.3821504433435654
Black Sabbath	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 -0.043535489387936 -0.04555758996921475 0.5009310572976126 0.23254308353391864 0.48151993167374324
Blondie	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 -0.043535489387936 -0.04555758996921475 0.5009310572976126 -0.5217158975862642 -0.11726147067262965
Blood, Sweat & Tears	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 -0.043535489387936 -0.04555758996921475 0.5009310572976126 0.41622295133660525 -0.3357025246839757
Blue Öyster Cult	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 -0.043535489387936 -0.04555758996921475 -0.04777554552928078 -0.05021912123760655 0.7294279893007641
Blur	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 -0.043535489387936 -0.04555758996921475 -0.04777554552928078 -0.7242561020822688 -0.10020104944476059
Boston	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 -0.043535489387936 -0.04555758996921475 -0.04777554552928078 0.1497097118920485 -0.7156634361754364
The Box Tops	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 -0.043535489387936 -0.04555758996921475 -0.5662560214936007 0.1293137287917084 0.44665616768614846
Billy Bragg	0.3635190162221552 0.2610367603283276 0.20414187127573807 0.167810879233711 -0.43478598469884605 -0.043535489387936 -0.04555758996921475 -0.5662560214936007 -0.34793838042549624 -0.30848445019639964
