Scaling factor	2.6659506944613276
The Hip Hop Years	0.3635190162218752 0.2610367603302107 0.2041418712771815 0.1678108792325875 -0.4347859847021436 -0.04353548938901411 -0.045557589970536605 0.5009310572996488 -0.5217158975890692 -0.11726147067446038
Classic Rock Box: Live!	0.36351901622370353 0.26103676033153655 0.20414187127525515 0.16781087923788054 -0.43478598469975854 -0.043535489387282 -0.045557589968792125 0.5009310572983013 -0.521715897589849 -0.11726147067290027
A Year in Your Life: 1981, Volume Two	0.36351901622477617 0.2610367603318146 0.2041418712756729 0.16781087923552926 -0.4347859846983161 -0.0435354893868901 -0.04555758996861295 0.500931057301167 -0.521715897587898 -0.11726147067407358
Original Hits: 80s 12″	0.36351901622272476 0.2610367603308198 0.20414187127505307 0.16781087923498814 -0.43478598470002655 -0.04353548938536883 -0.04555758996828006 0.5009310573003097 -0.5217158975897509 -0.11726147067443655
A Year in Your Life: 1979, Volume One	0.3635190162216577 0.2610367603309053 0.20414187127449743 0.16781087923501325 -0.43478598469998314 -0.04353548938759434 -0.04555758996608004 0.5009310573009076 -0.5217158975904345 -0.11726147067176085
Testament van de Seventies	0.36351901622319843 0.2610367603309993 0.2041418712752156 0.16781087923508756 -0.434785984700145 -0.04353548938762156 -0.04555758996896121 0.5009310573024174 -0.5217158975868448 -0.11726147067460806
100% Disco	0.3635190162236053 0.2610367603310479 0.20414187127539604 0.16781087923511925 -0.4347859847001986 -0.04353548938762573 -0.0455575899689672 0.500931057297947 -0.5217158975909114 -0.11726147067399458
Pump It Up	0.3635190162229676 0.2610367603307273 0.20414187127520775 0.16781087923494525 -0.4347859847000031 -0.04353548938765041 -0.045557589971243914 0.500931057299011 -0.5217158975905679 -0.11726147067415392
Shape Fitness Music - Walking 3: High-Energy Hits	0.36351901622346156 0.2610367603312429 0.20414187127525024 0.16781087923521595 -0.4347859847002764 -0.043535489390193596 -0.04555758996735648 0.5009310572984631 -0.5217158975904834 -0.11726147067259914
Feeling ’70s	0.3635190162239121 0.26103676033096085 0.20414187127557998 0.16781087923508026 -0.4347859847001826 -0.04353548938969992 -0.04555758996974709 0.500931057299384 -0.5217158975889691 -0.11726147067498688
Woman in Love	0.3635190162229754 0.2610367603312275 0.2041418712750181 0.16781087923519977 -0.4347859847030685 -0.04353548938580314 -0.0455575899682871 0.5009310572980432 -0.5217158975893585 -0.11726147067180841
In the Mix 2000	0.3635190162231465 0.26103676033142137 0.2041418712750269 0.16781087923530127 -0.434785984703301 -0.04353548938857853 -0.04555758996703274 0.5009310572983594 -0.5217158975886216 -0.11726147067093687
Eighties Obsession	0.36351901622205546 0.26103676033028694 0.20414187127493136 0.16781087923470567 -0.43478598470197866 -0.04353548938844969 -0.045557589969764674 0.5009310572986776 -0.5217158975903757 -0.117261470674087
Shape: Cardio 1 - '80s/'90s Hits	0.3635190162229284 0.26103676033060264 0.2041418712752368 0.1678108792348812 -0.4347859847021031 -0.04353548939026804 -0.0455575899692723 0.5009310572995374 -0.5217158975883712 -0.11726147067437555
Songify the Election: 2016	0.3635190162244337 0.2610367603313414 0.20414187127568822 0.16781087923304286 -0.4347859846989379 -0.04353548938931738 -0.04555758996911445 0.5009310573004085 -0.5217158975893017 -0.11726147067405682
The Ultimate Seventies Number 1 Hits	0.3635190162236733 0.2610367603309789 0.20414187127545602 0.167810879232868 -0.43478598470084495 -0.04353548938615182 -0.045557589970628 0.5009310573000494 -0.5217158975890211 -0.11726147067422082
Lovebox Weekender	0.36351901622278304 0.2610367603313253 0.2041418712748861 0.16781087923218665 -0.4347859847011897 -0.043535489388444544 -0.04555758996975417 0.5009310573025713 -0.5217158975875128 -0.1172614706705836
On est les Champions	0.3635190162250766 0.26103676033212203 0.2041418712757011 0.16781087923289745 -0.43478598470164936 -0.0435354893883251 -0.045557589969659716 0.5009310572981083 -0.5217158975890441 -0.11726147067044286
The Number One's: Rock It Up	0.3635190162243986 0.26103676033133655 0.2041418712756729 0.16781087923302743 -0.43478598470107466 -0.043535489390257316 -0.045557589968933006 0.500931057300535 -0.5217158975874726 -0.11726147067359621
Most Excellent Dance	0.36351901622248894 0.2610367603280138 0.20414187128119152 0.16781087923611548 -0.4347859847000321 -0.04353548938743371 -0.04555758996887351 0.5009310573005817 -0.5217158975884655 -0.11726147067079319
Fun	0.36351901622288896 0.2610367603281989 0.2041418712784305 0.16781087923875668 -0.4347859846995803 -0.04353548938717401 -0.04555758996872358 0.500931057300836 -0.5217158975885342 -0.1172614706706803
Vakantie! De beste muziek voor onderweg	0.36351901622324806 0.26103676032847956 0.2041418712779064 0.167810879237585 -0.43478598470202523 -0.04353548938752808 -0.045557589968939674 0.5009310572980843 -0.5217158975891049 -0.11726147067327872
The Best Mum in the World Ever!	0.36351901622408567 0.26103676032888024 0.20414187127804514 0.16781087923553636 -0.4347859846980846 -0.0435354893892964 -0.045557589968861945 0.5009310573004999 -0.5217158975896347 -0.1172614706741457
The Curves Collection	0.3635190162225204 0.26103676032811235 0.20414187127788846 0.16781087923541907 -0.43478598469982804 -0.043535489384944275 -0.04555758997092608 0.5009310573002423 -0.5217158975903905 -0.11726147067227653
Long Time	0.3635190162240471 0.2610367603288609 0.20414187127804337 0.16781087923553514 -0.4347859847001184 -0.04353548938744982 -0.045557589966739344 0.5009310572988265 -0.5217158975899412 -0.11726147067403787
Video Hits	0.3635190162235081 0.2610367603286588 0.20414187127765537 0.16781087923522914 -0.434785984699872 -0.04353548938752137 -0.04555758996888698 0.5009310573000438 -0.5217158975893251 -0.11726147067548491
Greatest Video Hits	0.36351901622268723 0.2610367603281363 0.20414187127821568 0.16781087923567847 -0.4347859846999938 -0.04353548938734356 -0.04555758997190374 0.5009310573026593 -0.5217158975875217 -0.11726147067053838
Drum Along: 10 Female Rock Songs	0.36351901622501065 0.26103676032922357 0.20414187127872943 0.16781087923607615 -0.43478598470055574 -0.04353548938732379 -0.04555758997160037 0.500931057298031 -0.5217158975891876 -0.11726147067047689
The Seventies	0.3635190162243132 0.2610367603289969 0.20414187127804095 0.16781087923553198 -0.43478598470015634 -0.043535489389698145 -0.04555758996736364 0.50093105729887 -0.5217158975894269 -0.11726147067404866
Panic of Girls	0.36351901622439653 0.2610367603290637 0.20414187127791011 0.16781087923542756 -0.43478598470011204 -0.043535489389518074 -0.04555758996944821 0.5009310572999046 -0.521715897588173 -0.11726147067504572
Simon Mayo’s Drivetime	0.36351901622437527 0.2610367603290292 0.20414187127803696 0.1678108792355285 -0.43478598470016366 -0.04353548938966955 -0.04555758997146845 0.5009310572986961 -0.5217158975893165 -0.11726147067348613
Mother	0.3635190162227504 0.2610367603282952 0.20414187127753633 0.16781087923513802 -0.43478598470194335 -0.04353548938596339 -0.04555758997061245 0.5009310572997046 -0.521715897588855 -0.11726147067440888
BamS Oldie-Party Engtanz-Runde	0.36351901622154276 0.2610367603276337 0.2041418712777855 0.16781087923534174 -0.43478598470274826 -0.043535489388108944 -0.04555758996938495 0.5009310573023579 -0.5217158975869689 -0.11726147067086082
Freitag Nacht Vol.17 (Mega Maxi Edition)	0.3635190162244018 0.2610367603289983 0.20414187127827513 0.16781087923571777 -0.4347859847028061 -0.04353548938798916 -0.04555758996929804 0.5009310573004384 -0.5217158975856173 -0.1172614706728185
No. 1 Hits of the 70s	0.3635190162226883 0.2610367603282255 0.20414187127774014 0.16781087923530036 -0.43478598470233215 -0.04353548938804442 -0.04555758997171337 0.5009310572982478 -0.5217158975900188 -0.117261470671937
Pollinator	0.3635190162225808 0.26103676032823425 0.20414187127739997 0.16781087923503038 -0.43478598470174473 -0.04353548939000982 -0.0455575899704684 0.5009310572997275 -0.5217158975890035 -0.11726147067422875
Best of Rock Disco, Vol. 2	0.36351901622599203 0.2610367603297331 0.2041418712786774 0.16781087923361593 -0.4347859846988896 -0.043535489386950545 -0.04555758996864219 0.5009310572994112 -0.5217158975890676 -0.11726147067304256
Feel the Beat Music of the 80s	0.3635190162246815 0.26103676032909257 0.2041418712785334 0.16781087923313118 -0.4347859847008493 -0.0435354893851904 -0.045557589968173405 0.5009310572988706 -0.5217158975898155 -0.117261470671261
Powerful Women	0.3635190162246539 0.2610367603291073 0.20414187127837918 0.16781087923321186 -0.4347859847007476 -0.04353548938770209 -0.04555758996671586 0.5009310573016275 -0.521715897586962 -0.11726147067280998
Where Were You? 1977	0.3635190162225628 0.2610367603281034 0.20414187127805183 0.16781087923249705 -0.43478598470037105 -0.04353548938774145 -0.04555758996905738 0.5009310573001933 -0.5217158975912033 -0.11726147066990311
94.7 Highveld Stereo	0.3635190162257156 0.2610367603296255 0.20414187127849948 0.1678108792336024 -0.4347859847009091 -0.04353548938768593 -0.04555758996903091 0.5009310572977262 -0.521715897589354 -0.11726147067273827
35 Unforgettable No. 1's, Volume 2	0.3635190162249757 0.2610367603292828 0.20414187127831676 0.1678108792333897 -0.43478598470073276 -0.043535489387705406 -0.04555758997130727 0.50093105729809 -0.5217158975898697 -0.11726147067218698
Electronic	0.36351901622377447 0.26103676032878187 0.20414187127772282 0.16781087923322321 -0.4347859847002546 -0.0435354893897433 -0.04555758996995465 0.5009310573010116 -0.5217158975884105 -0.11726147067446213
Made in the U.S.A.	0.3635190162228629 0.2610367603283542 0.20414187127752692 0.16781087923294363 -0.434785984702167 -0.04353548938656462 -0.045557589968568894 0.5009310572999535 -0.5217158975892422 -0.11726147067416838
The Ultimate Hits Album	0.3635190162239154 0.2610367603287679 0.20414187127818248 0.16781087923300822 -0.4347859847031093 -0.0435354893888071 -0.04555758996768222 0.5009310572986184 -0.5217158975889002 -0.11726147067107355
Disco: The Long Versions	0.3635190162246344 0.2610367603291714 0.20414187127798242 0.167810879233442 -0.4347859847024615 -0.043535489388574475 -0.04555758996999508 0.50093105729931 -0.5217158975874596 -0.11726147067393271
Rock & Pop Diamonds 1978	0.3635190162240285 0.26103676032882317 0.20414187127557365 0.16781087923777466 -0.43478598469978474 -0.04353548938973481 -0.045557589969838795 0.5009310572996484 -0.5217158975896362 -0.11726147067185776
100 No. 1 Hits	0.36351901622616756 0.2610367603298192 0.20414187127631933 0.16781087923594415 -0.4347859846987313 -0.043535489386932635 -0.04555758996863699 0.5009310572994965 -0.5217158975891603 -0.11726147067300668
Jentevorspiel	0.36351901622371074 0.2610367603287229 0.20414187127556635 0.16781087923529886 -0.43478598470005747 -0.043535489385527724 -0.04555758996834796 0.5009310573005195 -0.5217158975897943 -0.11726147067397946
Extended Seventies: The Dawning of the 12 inch Era	0.3635190162229994 0.2610367603283347 0.2041418712751947 0.16781087923539142 -0.4347859847000279 -0.043535489387468713 -0.04555758996637973 0.5009310573010958 -0.5217158975903952 -0.11726147067154859
Mega Hits Dance Classics, Volume 11	0.3635190162240961 0.2610367603289007 0.2041418712756971 0.16781087923537705 -0.43478598470015567 -0.043535489387518625 -0.045557589968885745 0.5009310573024359 -0.5217158975871969 -0.11726147067417092
Mega 50: Die 80er Jahre	0.36351901622430993 0.26103676032900824 0.20414187127578898 0.16781087923538535 -0.4347859847001877 -0.04353548938752503 -0.04555758996889223 0.5009310572983586 -0.5217158975910468 -0.11726147067343408
Do You Believe in Love	0.36351901622414534 0.2610367603288237 0.20414187127549746 0.1678108792357805 -0.43478598470042024 -0.04353548938740005 -0.04555758997171971 0.5009310573000783 -0.5217158975897215 -0.1172614706692511
Greatest Ever! Alternative 80s	0.3635190162231183 0.2610367603284091 0.20414187127527744 0.16781087923533838 -0.43478598470000873 -0.043535489390082206 -0.045557589967179304 0.5009310573008734 -0.5217158975902515 -0.11726147067164344
dance 80!	0.36351901622439403 0.26103676032904216 0.20414187127580685 0.16781087923542176 -0.4347859847002215 -0.043535489389680035 -0.045557589969558526 0.5009310573019697 -0.5217158975871313 -0.1172614706737635
Best 100 Music of the Eighties	0.3635190162242345 0.2610367603289125 0.20414187127563105 0.16781087923561064 -0.4347859847003226 -0.04353548939004243 -0.045557589971935285 0.5009310573007809 -0.5217158975886107 -0.11726147067076573
1999-08-29: Celebrity Theatre, Phoenix, AZ, USA	0.3635190162233482 0.26103676032850337 0.20414187127532976 0.1678108792354318 -0.4347859847027745 -0.043535489385665704 -0.04555758997090355 0.5009310573003072 -0.5217158975883907 -0.11726147067098917
Good Boys	0.36351901622413374 0.2610367603289418 0.20414187127576142 0.16781087923529098 -0.4347859847021554 -0.04353548938808699 -0.04555758996746902 0.5009310572987726 -0.5217158975892207 -0.11726147067391243
Blondie at the BBC	0.3635190162241472 0.2610367603289743 0.20414187127582312 0.16781087923518972 -0.4347859847018961 -0.043535489388066055 -0.045557589969371794 0.5009310572997451 -0.5217158975881845 -0.11726147067492539
Island of Lost Souls	0.36351901622379834 0.26103676032878276 0.2041418712756382 0.16781087923524 -0.43478598470214014 -0.04353548938810393 -0.045557589971341135 0.5009310572985091 -0.5217158975897193 -0.1172614706729252
Sunday Girl (en francais)	0.3635190162254983 0.2610367603294558 0.20414187127597355 0.1678108792332102 -0.4347859846987436 -0.04353548938684542 -0.045557589968578505 0.5009310573016602 -0.5217158975891403 -0.11726147067031571
Best of Party Hits	0.3635190162260784 0.26103676032980266 0.20414187127634248 0.16781087923365337 -0.4347859846991451 -0.043535489389166966 -0.04555758996896883 0.5009310572994263 -0.5217158975896422 -0.1172614706725807
In the Flesh	0.3635190162233888 0.26103676032981066 0.20414187127663866 0.167810879234236 -0.434785984701554 -0.04353548938700558 -0.045557589970507996 0.5009310573000334 -0.5217158975890738 -0.11726147067128773
Rock & Roll: The First 50 Years: The Late '60s: 25 Top 10 Hits	0.3635190162227446 0.2610367603337648 0.20414187127328157 0.16781087923474391 -0.4347859846996407 -0.04353548938771246 -0.04555758996905229 0.5009310572992715 0.4162229513362964 -0.3357025246895252
Live & Improvised	0.36351901622256383 0.26103676033003964 0.2041418712772714 0.16781087923927768 -0.43478598469835 -0.04353548938703755 -0.045557589968632 0.5009310572995811 0.41622295133562176 -0.33570252468985146
Audio’s Audiophile, Volume 12: Live Tracks	0.3635190162262914 0.2610367603324094 0.20414187127908262 0.16781087923651491 -0.43478598469432755 -0.043535489385403366 -0.04555758997438866 0.5009310572996083 0.4162229513376697 -0.33570252468473205
Rock 'n Roll Relix 1970-1971	0.3635190162232527 0.26103676033020945 0.20414187127735972 0.16781087923509774 -0.43478598469948854 -0.04353548938349115 -0.04555758997199729 0.5009310572998332 0.41622295133584314 -0.33570252468920836
Der Nachtfalke	0.3635190162191108 0.2610367603284198 0.20414187127612252 0.1678108792341389 -0.43478598469833607 -0.043535489387516293 -0.04555758996882367 0.5009310573020658 0.41622295133917364 -0.33570252469008377
100 Hits: Acoustic	0.3635190162257477 0.2610367603315473 0.2041418712783438 0.1678108792358844 -0.43478598470024493 -0.04353548938725486 -0.04555758996864654 0.5009310572932557 0.41622295134054843 -0.33570252468695266
Pure… 60s	0.3635190162234804 0.2610367603310163 0.2041418712780789 0.16781087923572052 -0.4347859846997215 -0.04353548939375443 -0.045557589964350415 0.5009310573021694 0.41622295133379056 -0.3357025246844387
The Complete Columbia Singles	0.3635190162240449 0.261036760330255 0.2041418712773236 0.16781087923504234 -0.43478598469963786 -0.04353548939089108 -0.045557589969966936 0.5009310572986673 0.41622295133612336 -0.33570252468959144
Rock On 1969, Volume 2	0.3635190162217591 0.2610367603297736 0.2041418712771061 0.16781087923492052 -0.43478598470427665 -0.04353548938397867 -0.045557589967617676 0.5009310572950346 0.4162229513398696 -0.3357025246873639
20 Dynamic Hits	0.363519016221226 0.26103676032932793 0.204141871276749 0.1678108792346239 -0.4347859847034248 -0.04353548938877026 -0.04555758997000508 0.5009310573019742 0.41622295133289827 -0.3357025246875693
Generation Woodstock	0.3635190162205529 0.26103676032881545 0.20414187127634417 0.1678108792342897 -0.43478598470252017 -0.043535489388673104 -0.045557589973358306 0.500931057298514 0.4162229513383495 -0.3357025246887225
The Electric Blues	0.3635190162269233 0.26103676033226775 0.20414187127889022 0.16781087923060392 -0.4347859846966712 -0.043535489386003566 -0.04555758997339891 0.5009310572997411 0.4162229513377942 -0.3357025246848734
Finest in Rock	0.3635190162222533 0.2610367603297236 0.20414187127701153 0.1678108792305069 -0.43478598470021895 -0.043535489384337184 -0.04555758997203332 0.5009310572990782 0.41622295133989295 -0.33570252468830164
Je n'aime toujours pas le jazz, mais ça j'aime bien !	0.3635190162242995 0.2610367603321489 0.20414187127903924 0.16781087922741977 -0.4347859847022935 -0.04353548938872433 -0.045557589969930645 0.500931057300504 0.41622295133899617 -0.33570252467708406
Blood, Sweat & Tears	0.3635190162251508 0.26103676033150486 0.2041418712783635 0.16781087923008298 -0.43478598470151175 -0.04353548938838871 -0.045557589975080595 0.5009310572969861 0.4162229513397249 -0.3357025246827961
22 Dynamic Hits - Vol. II	0.3635190162208703 0.2610367603297312 0.20414187127715466 0.16781087922866067 -0.4347859847063551 -0.04353548938589769 -0.045557589968060676 0.5009310572995628 0.4162229513381558 -0.33570252468300704
Feel Good Hits, Volume 2	0.363519016224065 0.2610367603304861 0.20414187127336006 0.16781087923828886 -0.43478598469893853 -0.04353548938715149 -0.04555758996870362 0.5009310573000134 0.41622295133640497 -0.3357025246888737
The Ultimate 70's Collection: Top of the 70's CD1	0.3635190162274288 0.2610367603324175 0.20414187127346564 0.1678108792354874 -0.4347859846965017 -0.04353548938599015 -0.04555758997318715 0.5009310573000594 0.4162229513381343 -0.33570252468459877
Nonplusultra-Rock	0.363519016222889 0.26103676032992895 0.20414187127305225 0.16781087923424587 -0.43478598469988494 -0.04353548938421128 -0.045557589971809094 0.500931057299411 0.4162229513398016 -0.3357025246882733
The Very Best of Pop Music 1969–70	0.36351901622484484 0.2610367603323327 0.2041418712701735 0.16781087923515192 -0.43478598470143415 -0.04353548938780312 -0.045557589969076516 0.5009310573014959 0.4162229513399073 -0.33570252467675693
Goodyear: The Ultimate Cruise Album	0.36351901622303784 0.26103676032978523 0.20414187127358305 0.16781087923422378 -0.43478598469978913 -0.043535489387889995 -0.045557589972422714 0.5009310573007895 0.4162229513374191 -0.33570252468885525
The Rock ’n’ 60s	0.36351901622459093 0.2610367603310286 0.20414187127282446 0.1678108792347578 -0.43478598470058394 -0.04353548939276961 -0.04555758997144094 0.5009310573025902 0.4162229513351759 -0.3357025246837218
The Essential Blood, Sweat & Tears	0.3635190162228877 0.26103676032973944 0.20414187127348554 0.16781087923419288 -0.43478598470309904 -0.043535489386040814 -0.045557589971622105 0.5009310572985656 0.41622295133768134 -0.3357025246881331
The Golden Era of Pop Music, Vol. 1	0.36351901622629273 0.26103676033207146 0.20414187127272693 0.16781087922943858 -0.43478598469797297 -0.04353548938629284 -0.045557589968212735 0.5009310573018793 0.4162229513401207 -0.33570252468274386
Schmuse Oldies Vol. III	0.36351901622516575 0.2610367603311958 0.20414187127321626 0.16781087923019677 -0.43478598470278534 -0.04353548938545349 -0.04555758997258399 0.5009310572997167 0.4162229513382808 -0.33570252468360157
Ultimate Love Classics, Volume 1	0.3635190162255131 0.26103676033143874 0.20414187126943525 0.16781087923456955 -0.4347859847012216 -0.043535489388153485 -0.04555758996942581 0.5009310573003886 0.4162229513389276 -0.33570252468325124
The Best of Rock 'n Soul	0.3635190162245003 0.2610367603266958 0.20414187127735775 0.16781087923846807 -0.43478598469904284 -0.04353548938717009 -0.04555758996871837 0.5009310573001157 0.4162229513366347 -0.3357025246884712
50 Jaar Radio Veronica: The 60’s	0.3635190162277746 0.26103676032731865 0.2041418712786697 0.1678108792361629 -0.43478598469649354 -0.04353548938605839 -0.0455575899728571 0.5009310573002815 0.4162229513383965 -0.3357025246843761
Happy Together	0.36351901622487814 0.26103676032707473 0.20414187127740865 0.16781087923512963 -0.4347859846999874 -0.043535489384387456 -0.04555758997140927 0.5009310573002403 0.416222951336758 -0.3357025246880522
Masterpiece	0.3635190162216927 0.26103676032553047 0.20414187127643946 0.1678108792343784 -0.43478598469910357 -0.04353548938762641 -0.045557589968933034 0.5009310573020143 0.41622295133942205 -0.33570252468866574
Radio 10 Gold: Top 4000	0.36351901622472793 0.2610367603258594 0.20414187127773692 0.16781087923543903 -0.4347859847001171 -0.04353548938739912 -0.045557589973830845 0.5009310573037045 0.416222951335391 -0.33570252468326944
Child Is Father to the Man	0.36351901622267246 0.2610367603255387 0.20414187127689032 0.16781087923475033 -0.4347859846994454 -0.04353548939178779 -0.0455575899662437 0.5009310573003621 0.41622295134105886 -0.3357025246865136
Spinning Wheel: The Best of Blood, Sweat & Tears	0.36351901622765265 0.26103676032766937 0.20414187127849845 0.16781087923601046 -0.4347859847008698 -0.0435354893917721 -0.04555758997033967 0.5009310572965081 0.4162229513390261 -0.33570252468361383
That’s Underground	0.36351901622201 0.2610367603244294 0.2041418712769467 0.16781087923483193 -0.4347859847047927 -0.043535489389236806 -0.04555758996528553 0.5009310573007596 0.4162229513388566 -0.3357025246828612
Funky Jazz 6 - Cool & Soul	0.36351901622533933 0.2610367603274603 0.20414187127749597 0.16781087923518953 -0.43478598470334123 -0.043535489388612306 -0.04555758996993085 0.5009310572992427 0.41622295133461074 -0.33570252468681194
To Have and to Hold: The Wedding Album	0.363519016227929 0.2610367603277875 0.2041418712785877 0.16781087923162027 -0.434785984698001 -0.0435354893864072 -0.0455575899683155 0.5009310573021224 0.4162229513365045 -0.33570252468479134
Pop Revolution From the Underground	0.36351901622657384 0.26103676032793494 0.2041418712779121 0.16781087923213409 -0.4347859847014225 -0.043535489385182514 -0.04555758996807063 0.5009310572981305 0.41622295133790377 -0.33570252468705614
Rock - Super Groups	0.36351901622497007 0.2610367603262874 0.20414187127770891 0.16781087923070448 -0.4347859847014847 -0.04353548938867436 -0.04555758996995088 0.5009310573039603 0.41622295133577497 -0.3357025246831169
Dick Clark's #1's: 50s to 70s "When AM Radio Was King", Volume 5	0.3635190162251821 0.2610367603275815 0.2041418712773835 0.16781087923209714 -0.4347859847008768 -0.04353548938836738 -0.04555758997235775 0.5009310573003543 0.4162229513367505 -0.33570252468728123
The Best of Rock	0.3635190162246308 0.2610367603272691 0.20414187127723055 0.16781087923188973 -0.4347859847035467 -0.04353548939023851 -0.0455575899702591 0.5009310572983529 0.4162229513379744 -0.3357025246863056
Sounds of the Sixties: 1969	0.3635190162255511 0.26103676032746786 0.2041418712741768 0.16781087923447546 -0.43478598469768626 -0.04353548938676271 -0.045557589968533 0.5009310573005826 0.41622295134019244 -0.335702524687696
Sounds of the Sixties: 1969 Still Swinging	0.36351901622593336 0.26103676032679674 0.20414187127336816 0.16781087923454432 -0.4347859847013209 -0.04353548938394251 -0.04555758997215253 0.5009310573009255 0.4162229513393709 -0.3357025246830722
Baby Boomer Classics: Rockin Sixties	0.36351901622417365 0.2610367603272011 0.2041418712741318 0.16781087923414692 -0.4347859847003026 -0.04353548938812476 -0.04555758996939642 0.5009310573018767 0.4162229513371322 -0.3357025246881293
60's Pop Hits	0.3635190162256078 0.26103676032776413 0.20414187127449301 0.16781087923449756 -0.434785984700744 -0.04353548938808915 -0.04555758997220503 0.5009310573011891 0.4162229513362697 -0.3357025246868061
Pop Rock Selects	0.3635190162244193 0.26103676032729817 0.2041418712741944 0.167810879234207 -0.4347859847003779 -0.04353548939085478 -0.0455575899710031 0.5009310572998558 0.4162229513394225 -0.3357025246872122
Color Collection - Rock Classics	0.3635190162248527 0.2610367603274464 0.20414187127427938 0.16781087923431232 -0.4347859847033199 -0.043535489389757244 -0.04555758997147894 0.5009310572984567 0.4162229513384353 -0.33570252468605455
SOUND CD VOLVO 9512935	0.3635190162268221 0.2610367603249156 0.2041418712781457 0.1678108792355618 -0.4347859847006979 -0.04353548938762953 -0.04555758996900459 0.5009310573009453 0.41622295133648035 -0.33570252468512196
Brand New Day	0.3635190162206981 0.261036760331357 0.20414187128160965 0.16781087923615626 -0.43478598469976704 -0.04353548938738896 -0.04555758996884009 0.5009310573003383 0.41622295133887766 -0.33570252468318923
Mirror Image	0.3635190162227332 0.26103676033120116 0.20414187127791267 0.1678108792380163 -0.43478598469947627 -0.043535489387277866 -0.04555758997143537 0.5009310572988984 0.416222951338361 -0.33570252468612594
Live & Improvised (disc 1)	0.36351901622310134 0.26103676033209805 0.2041418712785862 0.16781087923600618 -0.4347859846970654 -0.04353548939020852 -0.04555758996870578 0.5009310573012385 0.4162229513396216 -0.33570252468308787
What Goes Up! The Best of Blood, Sweat & Tears	0.3635190162240805 0.26103676033190304 0.20414187127841027 0.16781087923585508 -0.4347859847004132 -0.04353548938466004 -0.04555758997105469 0.5009310572984923 0.41622295133802584 -0.3357025246850209
The 60's Greatest Hits, Volume 3	0.3635190162215946 0.26103676033218853 0.20414187127869712 0.16781087923610946 -0.4347859847002414 -0.04353548938718452 -0.0455575899685999 0.5009310573013608 0.4162229513397749 -0.3357025246798248
Wintertijd	0.3635190162219914 0.2610367603313688 0.20414187127806113 0.16781087923559146 -0.43478598469997637 -0.04353548938735857 -0.04555758997223564 0.5009310573027697 0.41622295133646947 -0.3357025246833142
B, S & T; 4	0.3635190162228587 0.2610367603316027 0.20414187127821531 0.1678108792357084 -0.4347859847001623 -0.04353548939069387 -0.045557589966579444 0.5009310573015554 0.41622295133655485 -0.3357025246839686
Blood, Sweat & Tears Greatest Hits	0.36351901622353494 0.2610367603309638 0.2041418712777094 0.1678108792352931 -0.434785984699997 -0.04353548938978546 -0.04555758996956887 0.5009310572995803 0.41622295133690074 -0.33570252468746087
Connoisseur Songbook Series: Goffin & King	0.36351901622284344 0.2610367603315027 0.20414187127813951 0.1678108792356472 -0.4347859847033713 -0.04353548938516883 -0.04555758996809951 0.5009310572980009 0.41622295133797904 -0.3357025246841077
Forever Rock, Volume 2	0.3635190162190212 0.26103676033013246 0.20414187127720126 0.16781087923492266 -0.4347859847028219 -0.043535489388361895 -0.045557589969608826 0.5009310573019401 0.4162229513389147 -0.33570252468301354
100 Forgotten Sixties Classics	0.36351901622052585 0.26103676033055095 0.20414187127747846 0.16781087923513333 -0.43478598470285545 -0.04353548938828748 -0.045557589972646244 0.5009310573003587 0.41622295133869464 -0.3357025246831824
Super Rock Session	0.36351901622109417 0.26103676033018547 0.20414187127718397 0.16781087923489005 -0.43478598470207674 -0.04353548939065082 -0.04555758997100333 0.5009310572989846 0.4162229513394409 -0.3357025246857079
Nuclear Blues	0.36351901622359395 0.2610367603317845 0.20414187127833344 0.167810879232591 -0.4347859847009165 -0.043535489384943026 -0.04555758996806337 0.5009310573013276 0.4162229513367882 -0.3357025246842574
Southern Nights	0.36351901622485433 0.26103676033215323 0.20414187127857947 0.16781087923300575 -0.43478598470115487 -0.04353548938781684 -0.04555758996643441 0.500931057299249 0.41622295133728227 -0.3357025246844395
The Graduate: Music from the Broadway Comedy	0.3635190162252793 0.2610367603326736 0.20414187127896435 0.16781087923293775 -0.43478598470146984 -0.0435354893877991 -0.04555758996913129 0.5009310572984061 0.4162229513383081 -0.3357025246823211
Billboard Top Pop Hits: 1969	0.3635190162235748 0.2610367603315915 0.20414187127818684 0.16781087923268306 -0.4347859847008019 -0.04353548939071002 -0.04555758996767121 0.5009310573012857 0.4162229513368353 -0.33570252468407924
Best of Two Super Groups Live	0.36351901622260047 0.2610367603306545 0.20414187127749964 0.16781087923270463 -0.43478598470254537 -0.04353548938667199 -0.04555758996857286 0.5009310573000237 0.41622295133691695 -0.33570252468660067
Hifi Visionen: Oldie CD 5	0.36351901622177923 0.2610367603301671 0.2041418712771509 0.1678108792325641 -0.4347859847021157 -0.04353548938901694 -0.04555758997053825 0.5009310572996031 0.4162229513386367 -0.33570252468672807
Hifi Visionen: Oldie-CD 15	0.36351901622252863 0.26103676033063683 0.20414187127502778 0.1678108792370323 -0.43478598470173935 -0.043535489387628606 -0.045557589969003866 0.5009310572997504 0.416222951337325 -0.3357025246867833
